source_train_dataset,target_train_dataset,training_method,test_dataset,adaptation_state,test_region_type,test_abs_rel,test_sq_rel,test_log10,test_rmse,test_rmse_log,test_a1,test_a2,test_a3
KITTI,DDAD,SCDepth,KITTI,before_adaptation,full,0.115,0.742,0.050,4.555,0.183,0.872,0.963,0.985
KITTI,DDAD,SCDepth,KITTI,before_adaptation,dynamic,0.191,2.072,0.084,7.111,0.282,0.726,0.891,0.949
KITTI,DDAD,SCDepth,KITTI,before_adaptation,static,0.106,0.638,0.046,4.275,0.159,0.886,0.973,0.991
KITTI,DDAD,SCDepth,DDAD,before_adaptation,full,0.222,4.843,0.109,21.075,0.366,0.628,0.842,0.917
KITTI,DDAD,SCDepth,DDAD,before_adaptation,dynamic,0.227,5.795,0.112,19.942,0.348,0.621,0.826,0.915
KITTI,DDAD,SCDepth,DDAD,before_adaptation,static,0.226,5.041,0.111,21.395,0.370,0.617,0.835,0.913
KITTI,DDAD,SCDepth,KITTI,after_adaptation,full,0.264,3.932,0.095,9.503,0.314,0.670,0.859,0.940
KITTI,DDAD,SCDepth,KITTI,after_adaptation,dynamic,0.359,6.881,0.131,11.690,0.383,0.519,0.760,0.886
KITTI,DDAD,SCDepth,KITTI,after_adaptation,static,0.262,3.987,0.093,9.452,0.303,0.678,0.863,0.944
KITTI,DDAD,SCDepth,DDAD,after_adaptation,full,0.142,2.992,0.063,15.056,0.239,0.816,0.927,0.968
KITTI,DDAD,SCDepth,DDAD,after_adaptation,dynamic,0.217,5.253,0.094,16.967,0.300,0.675,0.866,0.954
KITTI,DDAD,SCDepth,DDAD,after_adaptation,static,0.139,2.993,0.062,15.067,0.232,0.819,0.928,0.969
KITTI,DDAD,FedSCDepth,KITTI,before_adaptation,full,0.120,0.762,0.052,4.667,0.186,0.859,0.961,0.985
KITTI,DDAD,FedSCDepth,KITTI,before_adaptation,dynamic,0.214,2.382,0.090,7.410,0.289,0.683,0.876,0.949
KITTI,DDAD,FedSCDepth,KITTI,before_adaptation,static,0.109,0.633,0.047,4.378,0.161,0.878,0.972,0.992
KITTI,DDAD,FedSCDepth,DDAD,before_adaptation,full,0.246,5.862,0.123,23.383,0.414,0.579,0.808,0.893
KITTI,DDAD,FedSCDepth,DDAD,before_adaptation,dynamic,0.256,7.411,0.131,22.544,0.395,0.546,0.773,0.875
KITTI,DDAD,FedSCDepth,DDAD,before_adaptation,static,0.251,6.099,0.126,23.748,0.419,0.569,0.800,0.887
KITTI,DDAD,FedSCDepth,KITTI,after_adaptation,full,0.219,2.239,0.083,7.099,0.268,0.706,0.903,0.966
KITTI,DDAD,FedSCDepth,KITTI,after_adaptation,dynamic,0.322,4.645,0.119,9.707,0.345,0.527,0.804,0.923
KITTI,DDAD,FedSCDepth,KITTI,after_adaptation,static,0.212,2.187,0.080,6.940,0.253,0.721,0.913,0.971
KITTI,DDAD,FedSCDepth,DDAD,after_adaptation,full,0.156,3.433,0.075,17.543,0.272,0.783,0.907,0.952
KITTI,DDAD,FedSCDepth,DDAD,after_adaptation,dynamic,0.223,4.845,0.100,17.650,0.308,0.632,0.869,0.944
KITTI,DDAD,FedSCDepth,DDAD,after_adaptation,static,0.152,3.471,0.073,17.642,0.267,0.790,0.907,0.952
KITTI,DDAD,BOFedSCDepth,KITTI,before_adaptation,full,0.125,0.777,0.055,4.757,0.190,0.848,0.959,0.985
KITTI,DDAD,BOFedSCDepth,KITTI,before_adaptation,dynamic,0.219,2.299,0.092,7.430,0.287,0.669,0.876,0.953
KITTI,DDAD,BOFedSCDepth,KITTI,before_adaptation,static,0.114,0.658,0.050,4.512,0.167,0.868,0.970,0.991
KITTI,DDAD,BOFedSCDepth,DDAD,before_adaptation,full,0.247,5.691,0.122,22.913,0.404,0.574,0.808,0.899
KITTI,DDAD,BOFedSCDepth,DDAD,before_adaptation,dynamic,0.266,7.465,0.134,22.468,0.395,0.521,0.764,0.876
KITTI,DDAD,BOFedSCDepth,DDAD,before_adaptation,static,0.251,5.899,0.124,23.243,0.408,0.568,0.802,0.895
KITTI,DDAD,BOFedSCDepth,KITTI,after_adaptation,full,0.203,2.141,0.077,7.010,0.259,0.736,0.909,0.968
KITTI,DDAD,BOFedSCDepth,KITTI,after_adaptation,dynamic,0.306,4.640,0.116,9.770,0.342,0.555,0.811,0.922
KITTI,DDAD,BOFedSCDepth,KITTI,after_adaptation,static,0.196,2.096,0.074,6.843,0.243,0.751,0.918,0.973
KITTI,DDAD,BOFedSCDepth,DDAD,after_adaptation,full,0.150,3.279,0.072,17.040,0.264,0.790,0.913,0.956
KITTI,DDAD,BOFedSCDepth,DDAD,after_adaptation,dynamic,0.209,4.617,0.096,17.301,0.303,0.664,0.870,0.942
KITTI,DDAD,BOFedSCDepth,DDAD,after_adaptation,static,0.147,3.322,0.071,17.142,0.259,0.796,0.912,0.956
DDAD,KITTI,SCDepth,KITTI,before_adaptation,full,0.330,4.442,0.123,9.573,0.367,0.511,0.797,0.922
DDAD,KITTI,SCDepth,KITTI,before_adaptation,dynamic,0.429,8.628,0.151,12.384,0.423,0.430,0.700,0.865 
